,1,2,3,4,5,6,7,8,9,10,11,12
0,0.90748,0.94078,0.9612,0.96053,0.95346,0.94187,0.90572,0.92314,0.94987,0.95991,0.9612,0.90749
1,0.89708,0.93599,0.9612,0.96053,0.95346,0.94187,0.90572,0.92314,0.94987,0.95991,0.9612,0.89709
2,0.87579,0.92467,0.9612,0.96053,0.95346,0.94187,0.90572,0.92314,0.94987,0.95991,0.9612,0.87577
3,1.0,1.0,1.0,0.99933,0.99226,0.98067,0.94452,0.96194,0.98867,0.99871,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
